id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;hub_id;country;time_zone
286;Mouroux;mouroux;8711628;87116285;48.813995;3.042342;;;FR;Europe/Paris
292;Alet-les-Bains;alet-les-bains;8761518;87615187;42.997445;2.251833;;;FR;Europe/Paris
293;Allassac;allassac;8759423;87594234;45.258939;1.473147;;;FR;Europe/Paris
295;Albens;albens;8774611;87746115;45.785946;5.948342;;;FR;Europe/Paris
302;Pierre-Buffière Ville;pierre-buffiere-ville;8740899;87408997;45.700000;1.350000;5349;;FR;Europe/Paris
303;Aix la Marsalouse;aix-la-marsalouse;8759429;87594291;45.614206;2.398447;;;FR;Europe/Paris
304;La Ferté-sous-Jouarre;la-ferte-sous-jouarre;8711651;87116517;48.950741;3.125577;;;FR;Europe/Paris
311;Merten;merten;8719321;87193219;49.250000;6.666667;;;FR;Europe/Paris
313;La Ferté-Milon;la-ferte-milon;8711667;87116673;49.179727;3.120722;;;FR;Europe/Paris
314;Neuilly-St-Front;neuilly-st-front;8711668;87116681;49.187147;3.271025;;;FR;Europe/Paris
315;Oulchy-Breny;oulchy-breny;8711669;87116699;49.187674;3.352442;;;FR;Europe/Paris
316;Albi Madeleine;albi-madeleine;8761519;87615195;43.938011;2.140963;4604;;FR;Europe/Paris
317;Ambérieu;amberieu;8774371;87743716;45.954008;5.342388;;;FR;Europe/Paris
322;Auxon Église;auxon-eglise;8711711;87117119;48.092235;3.923863;9587;;FR;Europe/Paris
323;Rehainviller;rehainviller;8711713;87117135;48.566667;6.466667;;;FR;Europe/Paris
324;St-Pierremont;st-pierremont;8711714;87117143;48.433333;6.583333;;;FR;Europe/Paris
325;Leintrey;leintrey;8711716;87117168;48.616667;6.733333;;;FR;Europe/Paris
326;Amenoncourt;amenoncourt;8711717;87117176;48.626383;6.78441;;;FR;Europe/Paris
327;Magnac Bourg;magnac-bourg;8745000;87450007;45.61815;1.43097;;;FR;Europe/Paris
328;Aigues-Mortes;aigues-mortes;8777585;87775858;43.570901;4.191210;;;FR;Europe/Paris
329;Meuzac;meuzac;8745001;87450015;45.550000;1.433333;;;FR;Europe/Paris
335;Orville;orville;8711726;87117267;47.550000;5.200000;;;FR;Europe/Paris
336;Torcenay;torcenay;8711727;87117275;47.813425;5.470142;;;FR;Europe/Paris
337;Rosoy-sur-Amance;rosoy-sur-amance;8711728;87117283;47.833333;5.533333;;;FR;Europe/Paris
338;Bize;bize;8711730;87117309;47.833333;5.633333;;;FR;Europe/Paris
339;Anrosey;anrosey;8711731;87117317;47.833333;5.666667;;;FR;Europe/Paris
340;Pisseloup;pisseloup;8711732;87117325;47.833333;5.733333;;;FR;Europe/Paris
341;Bétoncourt-sur-Mance;betoncourt-sur-mance;8711733;87117333;47.830622;5.759083;;;FR;Europe/Paris
342;Vernois-sur-Mance;vernois-sur-mance;8711734;87117341;47.851944;5.794042;;;FR;Europe/Paris
343;Andelot;andelot;8771510;87715102;46.859467;5.923584;;;FR;Europe/Paris
344;Angers;angers;;;47.466667;-0.550000;;;FR;Europe/Paris
345;Angers Maître École;angers-maitre-ecole;8748404;87484048;47.467090;-0.531894;344;;FR;Europe/Paris
346;Blondefontaine;blondefontaine;8711736;87117366;47.883333;5.866667;;;FR;Europe/Paris
347;Angoulême;angouleme;8758300;87583005;45.653572;0.164608;;;FR;Europe/Paris
348;Raincourt;raincourt;8711737;87117374;47.859879;5.885947;;;FR;Europe/Paris
349;Gévigney;gevigney;8711738;87117382;47.800000;5.933333;;;FR;Europe/Paris
350;Baulay;baulay;8711739;87117390;47.783333;6.016667;;;FR;Europe/Paris
351;Amoncourt;amoncourt;8711740;87117408;47.733333;6.066667;;;FR;Europe/Paris
352;Chaux-les-Port;chaux-les-port;8711741;87117416;47.713834;6.03311;;;FR;Europe/Paris
353;Charmoille;charmoille;8711742;87117424;47.666667;6.100000;;;FR;Europe/Paris
354;Pusey;pusey;8711743;87117432;47.650000;6.133333;;;FR;Europe/Paris
355;Martigny-les-Gerbonvaux;martigny-les-gerbonvaux;8711744;87117440;48.450000;5.800000;;;FR;Europe/Paris
356;Autreville;autreville;8711745;87117457;48.483333;5.850000;;;FR;Europe/Paris
358;Mont-le-Vignoble;mont-le-vignoble;8711747;87117473;48.616667;5.850000;;;FR;Europe/Paris
359;Hestroff;hestroff;8711749;87117499;49.266667;6.433333;;;FR;Europe/Paris
360;Vaudreching;vaudreching;8711750;87117507;49.284483;6.523714;;;FR;Europe/Paris
361;Alzing;alzing;8711751;87117515;49.283333;6.550000;;;FR;Europe/Paris
364;Colmey – Flabeuville;colmey-flabeuville;8711757;87117572;49.457202;5.555477;;;FR;Europe/Paris
365;Montigny-sur-Chiers;montigny-sur-chiers;8711759;87117598;49.483333;5.666667;;;FR;Europe/Paris
366;Lexy;lexy;8711760;87117606;49.500000;5.733333;8749;;FR;Europe/Paris
367;Ingolsheim – Centre;ingolsheim-centre;8766034;87660340;48.97476;7.93729;;;FR;Europe/Paris
372;Hertzing;hertzing;8711768;87117689;48.683333;6.950000;;;FR;Europe/Paris
373;Bébing;bebing;8711769;87117697;48.700000;7.000000;;;FR;Europe/Paris
376;Drouilly;drouilly;8711778;87117788;48.766667;4.516667;;;FR;Europe/Paris
377;Aiguillon;aiguillon;8758669;87586693;44.298722;0.335239;;;FR;Europe/Paris
378;St-Martin-aux-Champs;st-martin-aux-champs;8711779;87117796;48.816667;4.483333;;;FR;Europe/Paris
379;Bouilly;bouilly;8711790;87117903;48.200000;4.000000;;;FR;Europe/Paris
380;Chamoy;chamoy;8711791;87117911;48.116667;3.966667;;;FR;Europe/Paris
381;Jeugny;jeugny;8711792;87117929;48.128443;4.039581;;;FR;Europe/Paris
382;Montigny-les-Monts;montigny-les-monts;8711793;87117937;48.100000;3.950000;;;FR;Europe/Paris
383;St-Germain Mairie;st-germain-mairie;8711794;87117945;48.259911;4.007804;;;FR;Europe/Paris
384;St-Jean-de-Bonneval;st-jean-de-bonneval;8711795;87117952;48.166667;4.050000;;;FR;Europe/Paris
385;St-Phal Monument aux morts;st-phal-monument-aux-morts;8711796;87117960;48.116667;4.000000;;;FR;Europe/Paris
386;Villery;villery;8711797;87117978;48.165524;4.023086;;;FR;Europe/Paris
